streamorde,stream_segment_total,stream_segment_count,total_water_pixel_count,huc_id,detection_ratio,detection_perc
2,25833,619,120513,1507,0.023961599504509736,2.4
3,16495,352,62158,1507,0.02133979993937557,2.13
4,9777,109,28231,1507,0.011148614094302955,1.11
5,5444,120,42079,1507,0.02204261572373255,2.2
6,2337,38,1640,1507,0.016260162601626018,1.63
7,804,22,2136,1507,0.02736318407960199,2.74
8,262,79,72454,1507,0.3015267175572519,30.15
9,718,85,72610,1507,0.11838440111420613,11.84
1,51384,4080,643349,1506,0.07940214852872489,7.94
2,24201,1920,377373,1506,0.079335564646089,7.93
3,13901,1084,234999,1506,0.07798000143874541,7.8
4,7562,646,161845,1506,0.08542713567839195,8.54
5,4136,482,80831,1506,0.1165377176015474,11.65
6,1474,261,44097,1506,0.17706919945725916,17.71
7,2185,1621,689346,1506,0.7418764302059496,74.19
8,284,253,249996,1506,0.8908450704225352,89.08
1,57908,2723,287448,1502,0.04702286385300822,4.7
2,29354,1724,210833,1502,0.05873134836819514,5.87
3,15086,979,141911,1502,0.06489460426885854,6.49
4,8227,510,122417,1502,0.0619910052266926,6.2
5,3807,306,81027,1502,0.08037825059101655,8.04
6,1561,176,33246,1502,0.11274823830877642,11.27
7,982,157,45307,1502,0.159877800407332,15.99
8,343,154,131875,1502,0.4489795918367347,44.9
1,87406,6233,759422,1408,0.071310893988971,7.13
2,41781,3299,499001,1408,0.0789593355831598,7.9
3,20892,1764,294703,1408,0.08443423319931075,8.44
4,11182,947,220716,1408,0.08468967984260418,8.47
5,6065,747,128663,1408,0.12316570486397362,12.32
6,3236,865,200321,1408,0.2673053152039555,26.73
7,1881,617,246642,1408,0.32801701222753854,32.8
8,1147,979,677150,1408,0.8535309503051438,85.35
9,1133,1051,1062289,1408,0.9276257722859664,92.76
1,57596,2870,201591,1505,0.049829849295089934,4.98
2,33269,1582,121694,1505,0.04755177492560642,4.76
3,19853,747,74917,1505,0.03762655518057724,3.76
4,11420,367,36109,1505,0.03213660245183888,3.21
5,3893,133,8192,1505,0.03416388389416902,3.42
6,1491,95,17621,1505,0.06371562709590879,6.37
7,1208,31,1237,1505,0.02566225165562914,2.57
8,406,174,44863,1505,0.42857142857142855,42.86
9,13,1,498,1505,0.07692307692307693,7.69
1,77714,7758,2257847,1501,0.09982757289548859,9.98
2,40889,3630,1108911,1501,0.08877693267137861,8.88
3,22732,2440,709595,1501,0.10733767376385711,10.73
4,11125,1313,367636,1501,0.11802247191011236,11.8
5,4778,583,141966,1501,0.12201758057764756,12.2
6,2267,352,96796,1501,0.1552712836347596,15.53
7,1647,430,176056,1501,0.2610807528840316,26.11
8,474,424,256811,1501,0.8945147679324894,89.45
9,65,65,110479,1501,1.0,100.0
10,1233,1218,1469721,1501,0.9878345498783455,98.78
1,55403,5377,702594,1405,0.09705250618197571,9.71
2,26969,3138,436948,1405,0.11635581593681635,11.64
3,13774,1601,275664,1405,0.11623348337447365,11.62
4,6513,564,114219,1405,0.08659603869184708,8.66
5,3281,304,69195,1405,0.09265467845169156,9.27
6,1810,565,154931,1405,0.31215469613259667,31.22
7,2585,2505,1500334,1405,0.9690522243713733,96.91
8,747,735,766902,1405,0.9839357429718876,98.39
1,67983,6825,1107640,1401,0.1003927452451348,10.04
2,31896,4045,768615,1401,0.12681840983195386,12.68
3,16610,2095,409510,1401,0.12612883804936786,12.61
4,8755,1232,275614,1401,0.14071958880639635,14.07
5,3932,727,230081,1401,0.18489318413021363,18.49
6,1769,929,337290,1401,0.5251554550593556,52.52
7,1038,834,313733,1401,0.8034682080924855,80.35
8,652,652,405775,1401,1.0,100.0
9,882,875,841137,1401,0.9920634920634921,99.21
1,28944,4948,1108143,1406,0.17095080154781647,17.1
2,13671,2071,550271,1406,0.1514885524102114,15.15
3,7703,1154,383054,1406,0.1498117616513047,14.98
4,4240,764,227346,1406,0.180188679245283,18.02
5,3177,977,270990,1406,0.3075228202706956,30.75
6,1186,406,94563,1406,0.342327150084317,34.23
7,872,788,432867,1406,0.9036697247706422,90.37
8,2,2,682,1406,1.0,100.0
9,1234,1226,1847440,1406,0.993517017828201,99.35
1,34852,3328,509058,1402,0.09548949845059107,9.55
2,16830,1670,278184,1402,0.0992275698158051,9.92
3,9118,1017,190031,1402,0.11153761789866198,11.15
4,4505,509,106125,1402,0.11298557158712541,11.3
5,2166,421,120422,1402,0.19436749769159742,19.44
6,1253,646,188253,1402,0.515562649640862,51.56
7,851,780,316008,1402,0.9165687426556992,91.66
8,456,454,601046,1402,0.9956140350877193,99.56
